Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0805,3,100nF,C49678
"C3, C7",0805,2,22uF,C45783
C5,0805,1,10uF,C15850 
C6,0805,1,1uF,C28323
C8,CP_Radial_D8.0mm_P3.50mm,1,330uF,C3008476
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,4,MountingHole,
"J1, J4",SolderWirePad_1x01_SMD_3x6mm,2,5V PAD,
J10,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
J2,SolderWirePad_1x01_SMD_3x6mm,1,D1 PAD,
"J3, J6",SolderWirePad_1x01_SMD_3x6mm,2,GND PAD,
J5,SolderWirePad_1x01_SMD_3x6mm,1,D2 PAD,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,
R1,0805,1,100k,C149504
"R2, R3",0805,2,10k,C17414
"R4, R5",0805,2,5.1k,C27834
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,FLASH_SW,C3726366
U1,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,C701341
