Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C2_4, C2_3, C2_2, C2, C4_4, C4_3, C4_2, C4",0603,12,100nF,C14663
"C3_4, C3_3, C3_2, C3, C5_4, C5_3, C5_2, C5, C7_4, C7_3, C7_2, C7",0805,12,10uF,C15850 
"C6_4, C6_3, C6_2, C6",0603,4,1uF,C15849
"C8_4, C8_3, C8_2, C8",CP_Elec_5x5.4,4,100uF,C131115
"J10_4, J10_3, J10_2, J10",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,4,USB_C_Receptacle_USB2.0,C2988369
"MK1_4, MK1_3, MK1_2, MK1",Microphone-6pin,4,GSA4737,C5142171
"R1_4, R1_3, R1_2, R1",0603,4,100k,C25803
"R2_4, R2_3, R2_2, R2, R3_4, R3_3, R3_2, R3",0603,8,10k,C25804
"R4_4, R4_3, R4_2, R4, R5_4, R5_3, R5_2, R5",0603,8,5.1k,C23186
"SW1_4, SW1_3, SW1_2, SW1",SW_Push_1P1T_XKB_TS-1187A,4,FLASH_SW,C318884
"U1_4, U1_3, U1_2, U1",SOP-8_3.9x4.9mm_P1.27mm,4,CH340N,C2977777
"U2_4, U2_3, U2_2, U2",SOT-223-3_TabPin2,4,AMS1117-3.3,C6186
