Designator,Mid X,Mid Y,Rotation,Layer
C1_4,43.6456,-48.045467,180.0,top
C1_3,11.6456,-11.045467,180.0,top
C1_2,11.6456,-48.045467,180.0,top
C1,43.6456,-11.045467,180.0,top
C2_4,17.6654,-14.245867,270.0,top
C2_3,49.6654,-14.245867,270.0,top
C2_2,49.6654,-51.245867,270.0,top
C2,17.6654,-51.245867,270.0,top
C3_4,58.9,-15.449067,270.0,top
C3_3,26.9,-15.449067,270.0,top
C3_2,26.9,-52.449067,270.0,top
C3,58.9,-52.449067,270.0,top
C4_4,60.3,-8.999067,0.0,top
C4_3,28.3,-45.999067,0.0,top
C4_2,28.3,-8.999067,0.0,top
C4,60.3,-45.999067,0.0,top
C5_4,60.55,-44.249067,180.0,top
C5_3,28.55,-7.249067,180.0,top
C5_2,60.55,-7.249067,180.0,top
C5,28.55,-44.249067,180.0,top
C6_4,28.3,-10.499067,180.0,top
C6_3,60.3,-10.499067,180.0,top
C6_2,60.3,-47.499067,180.0,top
C6,28.3,-47.499067,180.0,top
C7_4,58.9,-56.949067,90.0,top
C7_3,26.9,-19.949067,90.0,top
C7_2,58.9,-19.949067,90.0,top
C7,26.9,-56.949067,90.0,top
C8_4,14.5666,-61.806017,0.0,top
C8_3,46.5666,-61.806017,0.0,top
C8_2,14.5666,-24.806017,0.0,top
C8,46.5666,-24.806017,0.0,top
J10_4,54.0,-30.979,0.0,top
J10_3,54.0,-67.979,0.0,top
J10_2,22.0,-67.979,0.0,top
J10,22.0,-30.979,0.0,top
MK1_4,41.865,-45.2584,270.0,top
MK1_3,41.865,-8.26,270.0,top
MK1_2,9.865,-8.26,270.0,top
MK1,9.865,-45.2584,270.0,top
R1_4,47.0238,-7.718067,0.0,top
R1_3,15.0238,-7.718067,0.0,top
R1_2,47.0238,-44.718067,0.0,top
R1,15.0238,-44.718067,0.0,top
R2_4,15.0238,-9.218067,0.0,top
R2_3,15.0238,-46.218067,0.0,top
R2_2,47.0238,-46.218067,0.0,top
R2,47.0238,-9.218067,0.0,top
R3_4,28.3,-11.999067,0.0,top
R3_3,60.3,-11.999067,0.0,top
R3_2,60.3,-48.999067,0.0,top
R3,28.3,-48.999067,0.0,top
R4_4,28.9938,-67.699067,0.0,top
R4_3,60.9938,-67.699067,0.0,top
R4_2,28.9938,-30.699067,0.0,top
R4,60.9938,-30.699067,0.0,top
R5_4,28.9938,-69.199067,0.0,top
R5_3,28.9938,-32.199067,0.0,top
R5_2,60.9938,-69.199067,0.0,top
R5,60.9938,-32.199067,0.0,top
SW1_4,54.0,-8.899067,0.0,top
SW1_3,22.0,-8.899067,0.0,top
SW1_2,22.0,-45.899067,0.0,top
SW1,54.0,-45.899067,0.0,top
U1_4,46.211,-53.879067,0.0,top
U1_3,14.211,-53.879067,0.0,top
U1_2,46.211,-16.879067,0.0,top
U1,14.211,-16.879067,0.0,top
U2_4,54.0,-17.699067,270.0,top
U2_3,22.0,-54.699067,270.0,top
U2_2,54.0,-54.699067,270.0,top
U2,22.0,-17.699067,270.0,top
