Designator,Mid X,Mid Y,Rotation,Layer
C1,32.2072,-48.4124,90.0,top
C2,34.7472,-48.4124,90.0,top
C3,34.7472,-42.3399,270.0,top
C4,28.4988,-30.0736,90.0,top
C5,30.8356,-30.0736,270.0,top
C6,33.1724,-30.0736,270.0,top
C7,39.1668,-30.0482,90.0,top
C8,49.3268,-48.4072,90.0,top
J1,51.1652,-23.368,0.0,top
J10,56.134,-37.5,90.0,top
J2,33.2452,-23.368,0.0,top
J3,42.2052,-23.368,0.0,top
J4,46.6852,-23.368,0.0,top
J5,28.7652,-23.368,0.0,top
J6,37.7252,-23.368,0.0,top
J7,35.306,-53.1368,90.0,top
MK1,29.554,-52.63,0.0,top
R1,29.5656,-48.4124,270.0,top
R2,32.1772,-42.3399,270.0,top
R3,35.5092,-30.0736,90.0,top
R4,55.5752,-29.7688,90.0,top
R5,57.912,-29.7688,90.0,top
SW1,28.4988,-37.5,270.0,top
U1,40.4534,-47.6758,180.0,top
U2,41.5036,-36.2458,270.0,top
U3,35.936,-37.5,270.0,bottom
